Nome da Vaga,Nome da Empresa,Localização,Modalidade,Tipo de Contrato,Data de Publicação,Termo de Pesquisa
Analista Ciência Dados Pl,Raízen,São Paulo - SP,Remoto,Efetivo,04/11/2024,analista de dados
Analista de Dados PL (Belém-PA),Stefanini Group,São Paulo - SP,Remoto,Efetivo,04/11/2024,analista de dados
Analista de Dados Sênior - GCP e SAP,Niteo Technologies,São Paulo - SP,Remoto,Efetivo,04/11/2024,analista de dados
Analista de Dados,Gradus,São Paulo - SP,Remoto,Efetivo,04/11/2024,analista de dados
Analista de Dados JR,EBM Desenvolvimento Imobiliário,São Paulo - SP,Remoto,Efetivo,04/11/2024,analista de dados
Analista de Dados - Comercial,Indústria de Plásticos HERC Ltda,São Paulo - SP,Remoto,Efetivo,04/11/2024,analista de dados
Analista de Dados Sênior (ETL),https://www.linkedin.com/jobs/view/3745551669,São Paulo - SP,Remoto,Efetivo,04/11/2024,analista de dados
Analista Dados Jr,Stix,São Paulo - SP,Remoto,Efetivo,04/11/2024,analista de dados
Analista de Business Intelligence (BI),Multisoftware,Chapecó - SC,Presencial,Efetivo,04/11/2024,analista bi
8060143 | Analista de Dados PL,MAGNA SISTEMAS,São Paulo - SP,Remoto,Efetivo,01/11/2024,analista de dados
Banco de Talentos - Analista de Dados,Grupo OLX,São Paulo - SP,Remoto,Efetivo,01/11/2024,analista de dados
8059837| Analista de BI PL (Looker),MAGNA SISTEMAS,Chapecó - SC,Presencial,Efetivo,01/11/2024,analista bi
Analista BI III,Dasa Tecnologia,Chapecó - SC,Presencial,Efetivo,01/11/2024,analista bi
